Top Start
2018/03/27 20:46:33
PID     USER        %CPU    %MEM    TIME+       COMMAND 
79      root        0.0     0.0     0:00.00     deferwq 
80      root        0.0     0.0     0:00.00     charger_man+ 
81      root        0.0     0.0     0:00.00     bioset 
83      root        0.0     0.0     0:00.00     bioset 
141     root        0.0     0.0     0:00.00     kpsmoused 
142     root        0.0     0.0     0:00.62     kworker/0:1H 
144     root        0.0     0.0     0:00.00     scsi_eh_2 
145     root        0.0     0.0     0:00.00     scsi_tmf_2 
146     root        0.0     0.0     0:00.00     bioset 
170     root        0.0     0.0     0:01.50     jbd2/sda2-8 
171     root        0.0     0.0     0:00.00     ext4-rsv-co+ 
204     root        0.0     0.0     0:00.00     kauditd 
216     root        0.0     0.0     0:00.71     systemd-jou+ 
248     root        0.0     0.0     0:00.75     systemd-ude+ 
348     systemd+    0.0     0.0     0:00.11     systemd-tim+ 
353     root        0.0     0.0     0:00.00     iprt-VBoxWQ+ 
435     root        0.0     0.0     0:00.00     ttm_swap 
645     syslog      0.0     0.0     0:00.17     rsyslogd 
649     root        0.0     0.0     0:00.87     acpid 
651     root        0.0     0.0     0:00.07     cupsd 
656     root        0.0     0.0     0:00.32     systemd-log+ 
659     root        0.0     0.0     0:00.06     cron 
664     avahi       0.0     0.0     0:00.15     avahi-daemon 
673     message+    0.0     0.1     0:02.56     dbus-daemon 
708     avahi       0.0     0.0     0:00.00     avahi-daemon 
712     root        0.0     0.1     0:00.09     cups-browsed 
715     root        0.0     0.1     0:00.54     accounts-da+ 
725     lp          0.0     0.0     0:00.01     dbus 
726     lp          0.0     0.0     0:00.00     dbus 
734     root        0.0     0.1     0:00.12     ModemManager 
737     root        0.0     0.1     0:00.60     NetworkMana+ 
749     root        0.0     0.2     0:00.46     snapd 
789     root        0.0     0.1     0:00.52     polkitd 
805     root        0.0     0.1     0:00.08     lightdm 
836     postgres    0.0     0.0     0:00.15     postgres 
925     mysql       0.0     0.9     0:10.78     mysqld 
947     nobody      0.0     0.0     0:00.13     dnsmasq 
1029    whoopsie    0.0     0.1     0:00.11     whoopsie 
1039    root        0.0     0.0     0:00.00     agetty 
1131    root        0.0     0.0     0:01.11     php-fpm7.0 
1134    root        0.0     0.0     0:00.80     apache2 
1137    www-data    0.0     0.0     0:00.00     php-fpm7.0 
1138    www-data    0.0     0.0     0:00.00     php-fpm7.0 
1148    www-data    0.0     0.0     0:00.00     apache2 
1149    www-data    0.0     0.0     0:00.00     apache2 
1150    www-data    0.0     0.0     0:00.00     apache2 
1151    www-data    0.0     0.0     0:00.00     apache2 
1152    www-data    0.0     0.0     0:00.00     apache2 
1178    root        0.0     0.1     0:00.04     lightdm 
1183    komal       0.0     0.0     0:00.12     systemd 
1187    komal       0.0     0.0     0:00.00     (sd-pam) 
1190    komal       0.0     0.1     0:00.66     upstart 
1200    postgres    0.0     0.0     0:00.01     postgres 
1201    postgres    0.0     0.0     0:00.24     postgres 
1202    postgres    0.0     0.0     0:00.16     postgres 
1203    postgres    0.0     0.0     0:00.14     postgres 
1204    postgres    0.0     0.0     0:00.04     postgres 
1272    komal       0.0     0.0     0:00.05     upstart-ude+ 
1283    komal       0.0     0.1     0:04.93     dbus-daemon 
1295    komal       0.0     0.1     0:00.19     window-stac+ 
1328    komal       0.0     0.0     0:00.14     gnome-keyri+ 
1349    komal       0.0     0.1     0:00.14     gvfsd 
1352    komal       0.0     0.0     0:00.50     upstart-dbu+ 
1354    komal       0.0     0.0     0:01.52     upstart-dbu+ 
1356    komal       0.0     0.0     0:00.04     upstart-fil+ 
1366    komal       0.0     0.4     0:08.95     bamfdaemon 
1368    komal       0.0     0.0     0:00.02     gvfsd-fuse 
1370    komal       0.0     0.1     0:00.04     ibus-dconf 
1371    komal       0.0     0.4     0:08.58     ibus-ui-gtk3 
1373    komal       0.0     0.3     0:00.68     ibus-x11 
1395    komal       0.0     0.1     0:00.01     at-spi-bus-+ 
1400    komal       0.0     0.0     0:00.53     dbus-daemon 
1405    komal       0.0     0.1     0:01.51     at-spi2-reg+ 
1416    komal       0.0     0.0     0:07.56     ibus-engine+ 
1427    komal       0.0     1.1     0:09.80     hud-service 
1429    komal       0.0     0.4     0:02.52     unity-setti+ 
1435    komal       0.0     0.1     0:00.46     gnome-sessi+ 
1441    komal       0.0     0.5     0:10.17     unity-panel+ 
1460    root        0.0     0.1     0:00.68     upowerd 
1465    komal       0.0     0.1     0:00.12     dconf-servi+ 
1486    komal       0.0     0.1     0:00.07     indicator-m+ 
1487    komal       0.0     0.0     0:00.03     indicator-b+ 
1493    komal       0.0     0.1     0:00.35     indicator-p+ 
1496    komal       0.0     0.1     0:00.55     indicator-d+ 
1498    komal       0.0     0.2     0:00.97     indicator-k+ 
1499    komal       0.0     0.1     0:00.17     indicator-s+ 
1500    komal       0.0     0.2     0:00.72     indicator-p+ 
1502    komal       0.0     0.1     0:00.20     indicator-s+ 
1505    komal       0.0     5.0     36:40.72    compiz 
1515    komal       0.0     0.1     0:00.11     indicator-a+ 
1541    komal       0.0     0.0     0:00.14     check_gl_te+ 
1547    komal       0.0     0.1     0:00.32     evolution-s+ 
